Subscription	ResourceGroup	Resource	ResourceType
TfGM SharePoint	tfgm-rg-vn-ne1	sp-test-app01-ip	Microsoft.Network/publicIPAddresses
TfGM SharePoint	tfgm-rg-vn-ne1	sp-test-sql-ip	Microsoft.Network/publicIPAddresses
TfGM SharePoint	tfgm-rg-vn-ne1	sp-test-wfe01-ip	Microsoft.Network/publicIPAddresses
TfGM SharePoint	tfgm-rg-vn-ne1	static-test-wfe-ip	Microsoft.Network/publicIPAddresses
TfGM SharePoint	tfgm-rg-vn-ne1	static-wfe01-ip	Microsoft.Network/publicIPAddresses
TfGM SharePoint	tfgm-rg-vn-ne1	static-wfe02-ip	Microsoft.Network/publicIPAddresses
TfGM SharePoint	tfgm-rg-vn-ne1	testwaf-ip	Microsoft.Network/publicIPAddresses
TfGM SharePoint	tfgm-rg-vn-ne1	tfgm-pip-spapp	Microsoft.Network/publicIPAddresses
TfGM SharePoint	tfgm-rg-vn-ne1	tfgm-pip-spsql	Microsoft.Network/publicIPAddresses
TfGM SharePoint	tfgm-rg-vn-ne1	tfgm-pip-spweb	Microsoft.Network/publicIPAddresses
TfGM SharePoint	tfgm-rg-vn-ne1	TfGM-static-lbIP	Microsoft.Network/publicIPAddresses
TfGM SharePoint	tfgm-rg-vn-ne1	tfgm-vn-ne1-vgw-pip	Microsoft.Network/publicIPAddresses
TfGM SharePoint	tfgm-rg-vn-ne1	tfgm-vn-ne1	Microsoft.Network/virtualNetworks
TfGM SharePoint	tfgm-rg-vn-ne1	sp-edrms-sql	Microsoft.SqlVirtualMachine/SqlVirtualMachines
TfGM SharePoint	tfgm-rg-vn-ne1	sp-public-sql	Microsoft.SqlVirtualMachine/SqlVirtualMachines
TfGM SharePoint	tfgm-rg-vn-ne1	tfgmrgvnne13317	Microsoft.Storage/storageAccounts
TfGM SharePoint	tfgm-rg-vn-ne1	tfgmrgvnne1diag201	Microsoft.Storage/storageAccounts
TfGM SharePoint	tfgm-rg-vn-ne1	tfgmrgvnne1disks616	Microsoft.Storage/storageAccounts
TfGM SharePoint	tfgm-rg-vn-ne1	tfgmrgvnne1disks862	Microsoft.Storage/storageAccounts
TfGM SharePoint	tfgm-rg-vn-ne1	tfgmsassdne2	Microsoft.Storage/storageAccounts
TfGM SharePoint	tfgm-rg-vn-ne1	tfgmsqlbkp	Microsoft.Storage/storageAccounts
TfGM SharePoint	tfgm-rg-shd-ne1	tfgm-as-dom1	Microsoft.Compute/availabilitySets
TfGM SharePoint	tfgm-rg-shd-ne1	azurespt-adc-01/IaaSDiagnostics	Microsoft.Compute/virtualMachines/extensions
TfGM SharePoint	tfgm-rg-shd-ne1	tfgm-pip-temp	Microsoft.Network/publicIPAddresses
TfGM SharePoint	tfgm-rg-shd-ne1	TfgmRecoveryService	Microsoft.RecoveryServices/vaults
TfGM SharePoint	tfgm-rg-shd-ne1	tfgmsastdne2	Microsoft.Storage/storageAccounts
TfGM SharePoint	tfgm-rg-shd-ne1	tfgmsastdne3	Microsoft.Storage/storageAccounts
TfGM SharePoint	tfgm-rg-shd-ne1	tfgmsastdne4	Microsoft.Storage/storageAccounts
TfGM SharePoint	tfgm-rg-shd-ne1	tfgmsastne1	Microsoft.Storage/storageAccounts
Jason Test	NetworkWatcherRG	NetworkWatcher_uksouth	Microsoft.Network/networkWatchers
Jason Test	NetworkWatcherRG	NetworkWatcher_ukwest	Microsoft.Network/networkWatchers
Jason Test	jasontest	baigmawin10_OsDisk_1_37daf4cd7e7f4a55bb1363018b62298f	Microsoft.Compute/disks
Jason Test	jasontest	baigmawin10	Microsoft.Compute/virtualMachines
Jason Test	jasontest	baigmawin1024	Microsoft.Network/networkInterfaces
