"ResourceArn","TagKey","TagValue"
"arn:aws:ssm:eu-west-2:177539856531:parameter/CFN-DBPortParameter-5daRljScnK5N","aws:cloudformation:stack-id","arn:aws:cloudformation:eu-west-2:177539856531:stack/RDSTestStackTest/2b4bc990-e9aa-11e9-bd55-0a5f6fd32d44"
"arn:aws:ssm:eu-west-2:177539856531:parameter/CFN-DBPortParameter-5daRljScnK5N","aws:cloudformation:stack-name","RDSTestStackTest"
"arn:aws:states:eu-west-2:177539856531:stateMachine:LandingStateMachine","aws:cloudformation:logical-id","MasterStepFunction"
"arn:aws:states:eu-west-2:177539856531:stateMachine:LandingStateMachine","aws:cloudformation:stack-id","arn:aws:cloudformation:eu-west-2:177539856531:stack/TestLogging/0239af50-effd-11e9-b581-064d74357b0e"
"arn:aws:states:eu-west-2:177539856531:stateMachine:LandingStateMachine","aws:cloudformation:stack-name","TestLogging"
"arn:aws:states:eu-west-2:177539856531:stateMachine:eu-west-2-invoke-snowflake-load","aws:cloudformation:logical-id","SnowflakeLoadStepFunction"
"arn:aws:states:eu-west-2:177539856531:stateMachine:eu-west-2-invoke-snowflake-load","aws:cloudformation:stack-id","arn:aws:cloudformation:eu-west-2:177539856531:stack/snowflake-testing/1d6edeb0-1688-11ea-82d2-02317fefc7aa"
"arn:aws:states:eu-west-2:177539856531:stateMachine:eu-west-2-invoke-snowflake-load","aws:cloudformation:stack-name","snowflake-testing"
"arn:aws:states:eu-west-2:177539856531:stateMachine:ons_download","snowflake","snowflake"
"arn:aws:states:eu-west-2:177539856531:stateMachine:snowpipe_invoke","snowflake","snowflake"
