ResourceId,Subscription,ResourceGroup,Resource,ResourceType,Tags
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/SERVER-MIGRATION-NORTHEUROPE/providers/Microsoft.Compute/disks/TFGMMIGDBS01_OsDisk_1_1500d1f0c797493e81fffa22ef417192,TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGDBS01_OsDisk_1_1500d1f0c797493e81fffa22ef417192,Microsoft.Compute/disks,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/Server-Migration-NorthEurope/providers/Microsoft.Compute/virtualMachines/TFGMMIGAPP01,TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGAPP01,Microsoft.Compute/virtualMachines,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/Server-Migration-NorthEurope/providers/Microsoft.Compute/virtualMachines/TFGMMIGDBS01,TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGDBS01,Microsoft.Compute/virtualMachines,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/Server-Migration-NorthEurope/providers/Microsoft.Compute/virtualMachines/TFGMMIGDBS01/extensions/SqlIaasExtension,TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGDBS01/SqlIaasExtension,Microsoft.Compute/virtualMachines/extensions,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/Server-Migration-NorthEurope/providers/Microsoft.Network/networkInterfaces/tfgmmigapp01447,TfGM SharePoint,Server-Migration-NorthEurope,tfgmmigapp01447,Microsoft.Network/networkInterfaces,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/Server-Migration-NorthEurope/providers/Microsoft.Network/networkInterfaces/tfgmmigdbs01207,TfGM SharePoint,Server-Migration-NorthEurope,tfgmmigdbs01207,Microsoft.Network/networkInterfaces,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/Server-Migration-NorthEurope/providers/Microsoft.Network/networkSecurityGroups/TFGMMIGDBS01-nsg,TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGDBS01-nsg,Microsoft.Network/networkSecurityGroups,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/Server-Migration-NorthEurope/providers/Microsoft.Network/publicIPAddresses/TFGMMIGAPP01-ip,TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGAPP01-ip,Microsoft.Network/publicIPAddresses,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/Server-Migration-NorthEurope/providers/Microsoft.Network/publicIPAddresses/TFGMMIGDBS01-ip,TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGDBS01-ip,Microsoft.Network/publicIPAddresses,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/Server-Migration-NorthEurope/providers/Microsoft.SqlVirtualMachine/SqlVirtualMachines/TFGMMIGDBS01,TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGDBS01,Microsoft.SqlVirtualMachine/SqlVirtualMachines,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/Server-Migration-NorthEurope/providers/Microsoft.Storage/storageAccounts/servermigrationnortheuro,TfGM SharePoint,Server-Migration-NorthEurope,servermigrationnortheuro,Microsoft.Storage/storageAccounts,
