Subscription,ResourceGroup,Resource,ResourceType,Environment,Project
TfGM EDW,SQL-ManagedInstance-02-RG,rt-sql-managedinstance-04,Microsoft.Network/routeTables,,
TfGM EDW,SQL-ManagedInstance-02-RG,SQL-MI-VNET-04,Microsoft.Network/virtualNetworks,,
TfGM EDW,TestVM2,coupKeyVault,Microsoft.KeyVault/vaults,,
TfGM EDW,TestVM2,vnet-sql-managedinstance-02,Microsoft.Network/virtualNetworks,,
TfGM EDW,TestVnet,tfgmdaDF,Microsoft.DataFactory/factories,,
TfGM EDW,TestVnet,SmallTest-VNET,Microsoft.Network/virtualNetworks,,
TfGM EDW,TestVnet,tfgmtraveldatasc,Microsoft.Storage/storageAccounts,,
TfGM Geospatia,CS-WebJobs-NorthEurope-scheduler,WebJobs-NorthEurope,Microsoft.Logic/workflows,,Ian Hull
TfGM Geospatia,CS-WebJobs-NorthEurope-scheduler,WebJobs-NorthEurope_Carshare_test,Microsoft.Logic/workflows,,Ian Hull
TfGM Geospatia,CS-WebJobs-NorthEurope-scheduler,WebJobs-NorthEurope,Microsoft.Scheduler/jobcollections,,Ian Hull
TfGM Geospatia,DefaultResourceGroup-WEU,DefaultWorkspace-b8089e0e-c021-49c7-9800-c2def272d4a9-WEU,Microsoft.OperationalInsights/workspaces,,Ian Hull
TfGM Geospatia,DefaultResourceGroup-WEU,SecurityCenterFree(DefaultWorkspace-b8089e0e-c021-49c7-9800-c2def272d4a9-WEU),Microsoft.OperationsManagement/solutions,,Ian Hull
TfGM Geospatia,Default-Web-NorthEurope,3D09D3304EDF43F189DFB95C9E940E1AF9EDD298#NorthEuropewebspace,Microsoft.Web/certificates,,Ian Hull
TfGM Geospatia,Default-Web-NorthEurope,7BE3653D7F9D4CD1C53BC50D7957D9A2605D2F4A-NorthEuropewebspace,Microsoft.Web/certificates,,Ian Hull
TfGM Geospatia,Default-Web-NorthEurope,87E6F04B8C4C8F7BC662B460D687760D8F2BE6EC#NorthEuropewebspace,Microsoft.Web/certificates,,Ian Hull
TfGM Geospatia,Default-Web-NorthEurope,F5E5958E65BE49CB3F2C2658465224095EA297F0,Microsoft.Web/certificates,,Ian Hull
TfGM Geospatia,Default-Web-NorthEurope,Default1,Microsoft.Web/serverFarms,,Ian Hull
TfGM Geospatia,Default-Web-NorthEurope,Default2,Microsoft.Web/serverFarms,,Ian Hull
TfGM Geospatia,Default-Web-NorthEurope,bods,Microsoft.Web/sites,,Ian Hull
TfGM Geospatia,Default-Web-NorthEurope,carsharegm,Microsoft.Web/sites,,Ian Hull
TfGM Geospatia,Default-Web-NorthEurope,salmanandfriends,Microsoft.Web/sites,,Ian Hull
TfGM Geospatia,Default-Web-NorthEurope,SSSadmin,Microsoft.Web/sites,,Ian Hull
TfGM Geospatia,Default-Web-NorthEurope,TSIR,Microsoft.Web/sites,,Ian Hull
TfGM Geospatia,Default-Web-NorthEurope,carsharegm/dev,Microsoft.Web/sites/slots,,Ian Hull
TfGM Geospatia,Default-Web-NorthEurope,tsir/tsi-dev,Microsoft.Web/sites/slots,,Ian Hull
TfGM Geospatia,EMKtest,EMKtest,Microsoft.Web/sites,,Ian Hull
TfGM Geospatia,EMKtest,EMKtest/staging,Microsoft.Web/sites/slots,,Ian Hull
TfGM Geospatia,ne-gsweb,GSWEB01/enablevmaccess,Microsoft.Compute/virtualMachines/extensions,,Ian Hull
TfGM Geospatia,ne-gsweb,GSWEB01/IaaSAntimalware,Microsoft.Compute/virtualMachines/extensions,,Ian Hull
TfGM Geospatia,ne-gsweb,GSWEB01/Microsoft.Insights.VMDiagnosticsSettings,Microsoft.Compute/virtualMachines/extensions,,Ian Hull
TfGM Geospatia,ne-gsweb,GSWEB01/MicrosoftMonitoringAgent,Microsoft.Compute/virtualMachines/extensions,,Ian Hull
TfGM Geospatia,ne-gsweb,negswebdiag209,Microsoft.Storage/storageAccounts,,Ian Hull
TfGM Geospatia,NetworkWatcherRG,NetworkWatcher_northeurope,Microsoft.Network/networkWatchers,,Ian Hull
TfGM SharePoint,NetworkWatcherRG,NetworkWatcher_northeurope,Microsoft.Network/networkWatchers,,
TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGAPP01_DataDisk_0,Microsoft.Compute/disks,Prod,SharePoint Migration
TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGAPP01_OsDisk_1_e85185f370054217a6acc369d3520d48,Microsoft.Compute/disks,Prod,SharePoint Migration
TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGDBS01_disk2_93843354a22f4300ab0e6d8c66fbe760,Microsoft.Compute/disks,Prod,SharePoint Migration
TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGDBS01_OsDisk_1_1500d1f0c797493e81fffa22ef417192,Microsoft.Compute/disks,Prod,SharePoint Migration
TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGAPP01,Microsoft.Compute/virtualMachines,Prod,SharePoint Migration
TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGDBS01,Microsoft.Compute/virtualMachines,Prod,SharePoint Migration
TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGDBS01/SqlIaasExtension,Microsoft.Compute/virtualMachines/extensions,Prod,SharePoint Migration
TfGM SharePoint,Server-Migration-NorthEurope,tfgmmigapp01447,Microsoft.Network/networkInterfaces,Prod,SharePoint Migration
TfGM SharePoint,Server-Migration-NorthEurope,tfgmmigdbs01207,Microsoft.Network/networkInterfaces,Prod,SharePoint Migration
TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGDBS01-nsg,Microsoft.Network/networkSecurityGroups,Prod,SharePoint Migration
TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGAPP01-ip,Microsoft.Network/publicIPAddresses,Prod,SharePoint Migration
TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGDBS01-ip,Microsoft.Network/publicIPAddresses,Prod,SharePoint Migration
TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGDBS01,Microsoft.SqlVirtualMachine/SqlVirtualMachines,Prod,SharePoint Migration
TfGM SharePoint,Server-Migration-NorthEurope,servermigrationnortheuro,Microsoft.Storage/storageAccounts,Prod,SharePoint Migration
TfGM SharePoint,tfgm-rg-shd-ne1,tfgm-as-dom1,Microsoft.Compute/availabilitySets,Prod,DCS - check
TfGM SharePoint,tfgm-rg-shd-ne1,azurespt-adc-01/IaaSDiagnostics,Microsoft.Compute/virtualMachines/extensions,Prod,DCS - check
TfGM SharePoint,tfgm-rg-shd-ne1,tfgm-pip-temp,Microsoft.Network/publicIPAddresses,Prod,Check
TfGM SharePoint,tfgm-rg-shd-ne1,TfgmRecoveryService,Microsoft.RecoveryServices/vaults,Prod,EDRMS
TfGM SharePoint,tfgm-rg-shd-ne1,tfgmsastdne2,Microsoft.Storage/storageAccounts,,Check
TfGM SharePoint,tfgm-rg-shd-ne1,tfgmsastdne3,Microsoft.Storage/storageAccounts,,Check
TfGM SharePoint,tfgm-rg-shd-ne1,tfgmsastdne4,Microsoft.Storage/storageAccounts,,Check
TfGM SharePoint,tfgm-rg-shd-ne1,tfgmsastne1,Microsoft.Storage/storageAccounts,,Check
TfGM SharePoint,tfgm-rg-vn-ne1,tfgm-as-spapp1,Microsoft.Compute/availabilitySets,?,No VMs
TfGM SharePoint,tfgm-rg-vn-ne1,tfgm-as-spsql1,Microsoft.Compute/availabilitySets,?,No VMs
TfGM SharePoint,tfgm-rg-vn-ne1,tfgm-as-spweb1,Microsoft.Compute/availabilitySets,?,No VMs
TfGM SharePoint,tfgm-rg-vn-ne1,TfGM-static-availability-group,Microsoft.Compute/availabilitySets,prod,Static Website?
TfGM SharePoint,tfgm-rg-vn-ne1,SP-EDRMS-WFE02,Microsoft.Compute/virtualMachines,Prod,EDRMS
TfGM SharePoint,tfgm-rg-vn-ne1,sp-test-app01,Microsoft.Compute/virtualMachines,uat,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,sp-test-sql,Microsoft.Compute/virtualMachines,uat,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,sp-test-wfe01,Microsoft.Compute/virtualMachines,uat,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,static-test-wfe,Microsoft.Compute/virtualMachines,uat,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,static-wfe01,Microsoft.Compute/virtualMachines,prod,Static Website?
TfGM SharePoint,tfgm-rg-vn-ne1,azurespt-adc-01/Microsoft.Insights.VMDiagnosticsSettings,Microsoft.Compute/virtualMachines/extensions,Prod,DCS
TfGM SharePoint,tfgm-rg-vn-ne1,azurespt-adc-01/VMSnapshot,Microsoft.Compute/virtualMachines/extensions,Prod,DCS
TfGM SharePoint,tfgm-rg-vn-ne1,sp-EDRMS-app01/IaaSAntimalware,Microsoft.Compute/virtualMachines/extensions,Prod,EDRMS
TfGM SharePoint,tfgm-rg-vn-ne1,sp-edrms-app01/VMSnapshot,Microsoft.Compute/virtualMachines/extensions,Prod,EDRMS
TfGM SharePoint,tfgm-rg-vn-ne1,sp-EDRMS-sql/IaaSAntimalware,Microsoft.Compute/virtualMachines/extensions,Prod,EDRMS
TfGM SharePoint,tfgm-rg-vn-ne1,sp-EDRMS-sql/SqlIaasExtension,Microsoft.Compute/virtualMachines/extensions,Prod,EDRMS
TfGM SharePoint,tfgm-rg-vn-ne1,sp-edrms-sql/VMSnapshot,Microsoft.Compute/virtualMachines/extensions,Prod,EDRMS
TfGM SharePoint,tfgm-rg-vn-ne1,sp-EDRMS-wfe01/IaaSAntimalware,Microsoft.Compute/virtualMachines/extensions,Prod,EDRMS
TfGM SharePoint,tfgm-rg-vn-ne1,sp-edrms-wfe01/VMSnapshot,Microsoft.Compute/virtualMachines/extensions,Prod,EDRMS
TfGM SharePoint,tfgm-rg-vn-ne1,sp-public-app01/IaaSAntimalware,Microsoft.Compute/virtualMachines/extensions,Prod,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,sp-public-app01/VMSnapshot,Microsoft.Compute/virtualMachines/extensions,Prod,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,sp-public-sql/IaaSAntimalware,Microsoft.Compute/virtualMachines/extensions,Prod,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,sp-public-sql/SqlIaasExtension,Microsoft.Compute/virtualMachines/extensions,Prod,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,sp-public-sql/VMSnapshot,Microsoft.Compute/virtualMachines/extensions,Prod,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,sp-public-wfe01/BGInfo,Microsoft.Compute/virtualMachines/extensions,Prod,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,sp-public-wfe01/IaaSAntimalware,Microsoft.Compute/virtualMachines/extensions,Prod,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,sp-public-wfe01/VMSnapshot,Microsoft.Compute/virtualMachines/extensions,Prod,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,sp-public-wfe02/BGInfo,Microsoft.Compute/virtualMachines/extensions,Prod,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,sp-public-wfe02/IaaSAntimalware,Microsoft.Compute/virtualMachines/extensions,Prod,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,sp-public-wfe02/VMSnapshot,Microsoft.Compute/virtualMachines/extensions,Prod,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,sp-test-app01/IaaSAntimalware,Microsoft.Compute/virtualMachines/extensions,uat,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,sp-test-sql/IaaSAntimalware,Microsoft.Compute/virtualMachines/extensions,uat,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,sp-test-sql/SqlIaasExtension,Microsoft.Compute/virtualMachines/extensions,uat,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,sp-test-wfe01/IaaSAntimalware,Microsoft.Compute/virtualMachines/extensions,uat,Legacy website
